"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"STFJBUS","195713","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195813","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195913","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196013","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196113","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196213","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196313","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196413","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196513","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196613","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196713","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196813","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","196913","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197013","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197113","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197213","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197313","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197413","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197513","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197613","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197713","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197813","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","197913","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198013","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198113","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198213","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198313","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198413","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198513","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198613","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198713","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198813","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","198913","0.206","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199013","0.233","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199113","0.262","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199213","0.284","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199313","0.31","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199413","0.347","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199513","0.397","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199613","0.458","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199713","0.503","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
