"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"North Carolina : all solar",,"ELEC.GEN.TSN-NC-99.A",,,,,,,,,,,,,,,,,,,
"North Carolina : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",74,86,167,186,212,273
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-99.A","--","--","--","--","--","--","--",2,5,11,17,139,345,729,1374,3421,5114,6110,7292
"South Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"South Carolina : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-SC-99.A",89159,96563,93773,97940,102515,99268,103402,100978,100125,104153,102973,96756,95250,97158,96532,96986,93081,99364,100487
"South Carolina : coal","thousand megawatthours","ELEC.GEN.COW-SC-99.A",36699,36948,37432,38922,39692,39473,41583,41540,34478,37671,34169,28396,24407,28914,22631,21003,18152,19497,14860
"South Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SC-99.A",308,300,409,380,339,221,217,129,140,163,112,108,103,246,193,114,98,344,97
"South Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SC-99.A","--","--",48,491,279,16,0,52,383,28,0,0,0,0,0,0,0,0,0
"South Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-SC-99.A",1176,4498,1663,3798,5414,6068,5965,5729,9780,10927,12936,14332,11834,11407,16549,16367,17156,21654,24242
"South Carolina : other gases","thousand megawatthours","ELEC.GEN.OOG-SC-99.A",0,0,0,0,6,0,0,0,0,0,"--","--","--","--","--","--","--","--","--"
"South Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-SC-99.A",49870,53326,50418,51201,53138,50797,53200,51763,52150,51988,52903,51145,54252,52419,53156,55826,54345,52716,56103
"South Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SC-99.A",1225,1390,3665,2447,2938,1807,1556,1123,2332,2376,1554,1420,3160,2569,2564,2226,1835,3014,2836
"South Carolina : other renewables",,"ELEC.GEN.AOR-SC-99.A",,,,,,,,,,,,,,,,,,,
"South Carolina : wind","thousand megawatthours","ELEC.GEN.WND-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,5,4,5,80,510,797
"South Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : biomass","thousand megawatthours","ELEC.GEN.BIO-SC-99.A",894,1244,1296,1763,1814,1910,1996,1816,1748,1873,2129,2143,2226,2438,2289,2376,2400,2291,2418
"South Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SC-99.A",-1036,-1143,-1207,-1149,-1199,-1120,-1211,-1267,-976,-935,-890,-896,-795,-884,-904,-977,-1025,-705,-909
"South Carolina : other","thousand megawatthours","ELEC.GEN.OTH-SC-99.A",22,0,49,87,94,95,96,94,91,61,60,106,62,46,49,45,41,42,42
"South Carolina : all solar",,"ELEC.GEN.TSN-SC-99.A",,,,,,,,,,,,,,,,,,,
"South Carolina : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4,7,36,138,249,329
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,5,4,5,80,510,797
"Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Virginia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-VA-99.A",74105,75006,75309,78900,78943,73070,78361,72679,70082,72966,66671,70739,76897,77137,84412,92555,90417,95509,97417
"Virginia : coal","thousand megawatthours","ELEC.GEN.COW-VA-99.A",37770,38082,37093,35656,35425,34288,35421,31776,25599,25459,19881,14181,21161,20819,17231,16499,10726,9266,3462
"Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VA-99.A",5462,3793,5780,5154,4265,839,2097,1150,1088,1293,503,364,313,1205,1108,535,456,950,302
"Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-VA-99.A",4196,4387,4619,6438,8295,7215,10904,9315,12201,16999,18332,25038,22651,20882,33284,40905,44507,50160,58499
"Virginia : other gases","thousand megawatthours","ELEC.GEN.OOG-VA-99.A",0,0,3,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-VA-99.A",25759,27346,24816,28315,27918,27594,27268,27931,28212,26572,25548,28723,29326,30221,28060,29732,30554,29252,29498
"Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VA-99.A",1014,868,1782,1583,1484,1351,1248,1011,1479,1500,1210,1044,1254,955,1158,1471,1116,1765,1551
"Virginia : other renewables",,"ELEC.GEN.AOR-VA-99.A",,,,,,,,,,,,,,,,,,,
"Virginia : wind","thousand megawatthours","ELEC.GEN.WND-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-99.A",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",21,313,763,848
"Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : biomass","thousand megawatthours","ELEC.GEN.BIO-VA-99.A",1747,2071,2261,2432,2498,2458,2566,2698,2418,2220,2196,2358,2906,3852,4144,4092,3809,4173,3803
"Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VA-99.A",-2240,-1989,-1498,-1166,-1421,-1167,-1620,-1638,-1335,-1491,-1470,-1366,-1189,-1295,-1036,-1163,-1278,-1292,-1104
"Virginia : other","thousand megawatthours","ELEC.GEN.OTH-VA-99.A",397,447,453,488,479,491,477,434,420,414,470,397,475,500,462,462,213,471,558
"Virginia : all solar",,"ELEC.GEN.TSN-VA-99.A",,,,,,,,,,,,,,,,,,,
"Virginia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",22,30,41,66,82,132
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-99.A",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",21,313,763,848
"West Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"West Virginia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WV-99.A",81837,94762,94712,89750,93626,93816,93933,91123,70783,80789,79000,73413,75863,81060,72295,75943,73357,67249,63974
"West Virginia : coal","thousand megawatthours","ELEC.GEN.COW-WV-99.A",80214,92951,92469,87585,91417,91473,91866,89113,68080,78148,75964,70267,72284,77515,68056,71513,68349,62039,58192
"West Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WV-99.A",279,298,248,268,223,175,200,137,169,155,188,143,150,163,140,123,120,159,128
"West Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WV-99.A","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-WV-99.A",276,241,278,255,287,362,389,180,109,140,251,243,270,653,1304,1225,1527,1420,2105
"West Virginia : other gases","thousand megawatthours","ELEC.GEN.OOG-WV-99.A",90,175,170,148,86,53,56,50,36,40,30,32,30,31,29,25,34,25,42
"West Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WV-99.A",952,1066,1356,1318,1448,1572,1254,1248,1646,1367,1453,1431,1739,1242,1385,1638,1658,1848,1776
"West Virginia : other renewables",,"ELEC.GEN.AOR-WV-99.A",,,,,,,,,,,,,,,,,,,
"West Virginia : wind","thousand megawatthours","ELEC.GEN.WND-WV-99.A","--",9,170,161,154,174,168,392,742,939,1103,1286,1387,1451,1376,1432,1682,1770,1737
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : biomass","thousand megawatthours","ELEC.GEN.BIO-WV-99.A",16,6,4,2,1,0,0,-0,-1,0,9,11,4,5,5,5,"--","--",0
"West Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : other","thousand megawatthours","ELEC.GEN.OTH-WV-99.A",11,17,17,13,11,6,0,2,0,1,0,0,0,0,0,-12,-14,-12,-6
"West Virginia : all solar",,"ELEC.GEN.TSN-WV-99.A",,,,,,,,,,,,,,,,,,,
"West Virginia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4,4,6,8,10,12
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"East South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Alabama",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Alabama : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AL-99.A",125345,132921,137487,137355,137949,140895,143826,145870,143256,152151,156339,152879,150573,149340,152477,142385,139964,145058,141696
"Alabama : coal","thousand megawatthours","ELEC.GEN.COW-AL-99.A",72198,72042,76696,74832,78128,78109,77994,74605,55609,63050,56807,45607,47050,47302,41410,34258,31440,31778,26694
"Alabama : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AL-99.A",435,312,337,295,333,180,157,204,219,200,120,110,74,98,84,46,36,66,19
"Alabama : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AL-99.A","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Alabama : natural gas","thousand megawatthours","ELEC.GEN.NG-AL-99.A",9613,15904,12244,15977,13869,19407,23232,22363,31617,39235,47681,55705,46586,48270,55844,57804,52984,58800,56628
"Alabama : other gases","thousand megawatthours","ELEC.GEN.OOG-AL-99.A",189,113,170,182,107,131,178,204,135,277,292,178,268,180,36,24,9,5,"NM"
"Alabama : nuclear","thousand megawatthours","ELEC.GEN.NUC-AL-99.A",30357,31857,31677,31636,31694,31911,34325,38993,39716,37941,39356,40841,40816,41244,41951,39902,42652,39463,43657
"Alabama : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AL-99.A",8356,8825,12665,10626,10145,7252,4136,6136,12535,8704,8884,7435,12899,9467,9862,6985,9237,11143,10839
"Alabama : other renewables",,"ELEC.GEN.AOR-AL-99.A",,,,,,,,,,,,,,,,,,,
"Alabama : wind","thousand megawatthours","ELEC.GEN.WND-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,181,357,390
"Alabama : geothermal","thousand megawatthours","ELEC.GEN.GEO-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : biomass","thousand megawatthours","ELEC.GEN.BIO-AL-99.A",4189,3746,3673,3779,3647,3884,3801,3357,3050,2377,2817,2777,2876,2779,3289,3335,3426,3446,3462
"Alabama : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : other","thousand megawatthours","ELEC.GEN.OTH-AL-99.A",8,123,26,28,25,21,4,8,374,366,383,227,3,"NM",0,0,0,-0,0
"Alabama : all solar",,"ELEC.GEN.TSN-AL-99.A",,,,,,,,,,,,,,,,,,,
"Alabama : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",3,3,8,8,11,14
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,181,357,390
"Kentucky",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Kentucky : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-KY-99.A",95418,92107,91719,94530,97822,98792,97225,97863,90630,98218,98351,89950,89741,90896,83544,80274,73179,78804,71128
"Kentucky : coal","thousand megawatthours","ELEC.GEN.COW-KY-99.A",90799,83274,84061,86121,89083,91198,90483,91621,84038,91054,91656,82762,83303,83602,72620,66822,57237,59168,51714
"Kentucky : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KY-99.A",124,174,150,121,118,96,119,131,127,123,139,107,107,120,113,88,71,70,64
"Kentucky : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KY-99.A","--",2895,2795,3500,3563,3245,2673,2743,1890,2162,1596,1429,1302,1033,964,1130,427,-0,0
"Kentucky : natural gas","thousand megawatthours","ELEC.GEN.NG-KY-99.A",630,1374,444,580,1654,1177,1796,979,878,1841,1546,2949,1418,2500,5950,8228,10380,14615,14821
"Kentucky : other gases","thousand megawatthours","ELEC.GEN.OOG-KY-99.A","--","--",0,2,5,4,5,4,4,3,"--","--","--","--","--","--","--","--","--"
"Kentucky : nuclear","thousand megawatthours","ELEC.GEN.NUC-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KY-99.A",3856,4025,3948,3780,2961,2592,1669,1917,3318,2580,2969,2362,3275,3144,3403,3478,4506,4418,4007
"Kentucky : other renewables",,"ELEC.GEN.AOR-KY-99.A",,,,,,,,,,,,,,,,,,,
"Kentucky : wind","thousand megawatthours","ELEC.GEN.WND-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",12,20,39,39
"Kentucky : geothermal","thousand megawatthours","ELEC.GEN.GEO-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : biomass","thousand megawatthours","ELEC.GEN.BIO-KY-99.A",10,365,299,411,421,459,466,460,364,440,436,333,327,448,441,465,495,431,435
"Kentucky : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : other","thousand megawatthours","ELEC.GEN.OTH-KY-99.A","--","--",22,16,17,22,16,9,13,15,9,8,9,50,52,50,45,64,47
"Kentucky : all solar",,"ELEC.GEN.TSN-KY-99.A",,,,,,,,,,,,,,,,,,,
"Kentucky : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",13,14,20,25,32,40
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",12,20,39,39
"Mississippi",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Mississippi : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MS-99.A",53446,42889,40148,43663,45067,46229,50044,48206,48701,54487,51571,54584,52810,55127,64758,62881,59728,63474,66832
"Mississippi : coal","thousand megawatthours","ELEC.GEN.COW-MS-99.A",19196,14853,17083,17478,16636,18105,17407,16683,12958,13629,9723,7212,8701,10743,6400,5342,4628,5280,4414
"Mississippi : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MS-99.A",5144,30,1632,2777,1445,399,399,76,17,81,36,17,14,14,14,18,11,27,14
"Mississippi : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : natural gas","thousand megawatthours","ELEC.GEN.NG-MS-99.A",17751,16971,9477,11619,15360,15706,21335,20607,23267,29619,29966,38550,31777,32606,45117,50095,46158,49482,49630
"Mississippi : other gases","thousand megawatthours","ELEC.GEN.OOG-MS-99.A",0,38,32,41,20,44,42,40,25,2,"--","--",0,"--","--","--","--","--","--"
"Mississippi : nuclear","thousand megawatthours","ELEC.GEN.NUC-MS-99.A",9924,10059,10902,10233,10078,10419,9359,9397,10999,9643,10337,7296,10865,10252,11715,5897,7365,6919,11033
"Mississippi : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : other renewables",,"ELEC.GEN.AOR-MS-99.A",,,,,,,,,,,,,,,,,,,
"Mississippi : wind","thousand megawatthours","ELEC.GEN.WND-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,86,326,321
"Mississippi : geothermal","thousand megawatthours","ELEC.GEN.GEO-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : biomass","thousand megawatthours","ELEC.GEN.BIO-MS-99.A",1432,937,1022,1514,1522,1541,1493,1391,1424,1504,1506,1509,1448,1508,1507,1524,1477,1439,1421
"Mississippi : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : other","thousand megawatthours","ELEC.GEN.OTH-MS-99.A",0,0,0,2,7,16,7,10,12,9,3,0,5,4,6,5,2,0,0
"Mississippi : all solar",,"ELEC.GEN.TSN-MS-99.A",,,,,,,,,,,,,,,,,,,
"Mississippi : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,6,11,11,14
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,86,326,321
"Tennessee",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Tennessee : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-TN-99.A",96222,96114,92222,97595,97117,93911,95113,90663,79717,82349,81104,77724,79652,79507,75215,79341,79046,81555,81734
"Tennessee : coal","thousand megawatthours","ELEC.GEN.COW-TN-99.A",59730,59706,54921,58060,59051,60498,60237,57058,41633,43670,40777,35419,32486,35875,30586,31168,27715,20967,18697
"Tennessee : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TN-99.A",400,270,406,191,231,160,232,216,187,217,195,144,130,185,135,122,124,130,141
"Tennessee : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : natural gas","thousand megawatthours","ELEC.GEN.NG-TN-99.A",456,470,627,292,531,664,722,467,409,2302,3259,8075,5017,6200,9324,11319,10268,13399,16614
"Tennessee : other gases","thousand megawatthours","ELEC.GEN.OOG-TN-99.A",18,12,3,13,15,14,13,12,12,13,17,13,13,13,12,15,12,11,12
"Tennessee : nuclear","thousand megawatthours","ELEC.GEN.NUC-TN-99.A",28576,27574,24153,28612,27803,24679,28700,27030,26962,27739,26919,25102,28494,27670,24960,29578,31818,36176,35720
"Tennessee : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TN-99.A",6947,7974,12004,10408,9310,7749,4940,5646,10212,8138,9576,8296,12443,8901,9581,6774,8691,10293,9857
"Tennessee : other renewables",,"ELEC.GEN.AOR-TN-99.A",,,,,,,,,,,,,,,,,,,
"Tennessee : wind","thousand megawatthours","ELEC.GEN.WND-TN-99.A","--",4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,41
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--",12,20,27,76,79,92,168,333
"Tennessee : geothermal","thousand megawatthours","ELEC.GEN.GEO-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : biomass","thousand megawatthours","ELEC.GEN.BIO-TN-99.A",822,796,826,826,763,756,921,915,899,947,967,777,1043,1062,1004,933,948,982,930
"Tennessee : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TN-99.A",-734,-696,-729,-818,-598,-668,-704,-739,-650,-721,-660,-163,-42,-491,-531,-704,-686,-620,-615
"Tennessee : other","thousand megawatthours","ELEC.GEN.OTH-TN-99.A",7,6,7,6,9,5,3,8,1,3,1,1,1,14,21,20,21,8,5
"Tennessee : all solar",,"ELEC.GEN.TSN-TN-99.A",,,,,,,,,,,,,,,,,,,
"Tennessee : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",60,60,86,87,90,94
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--",12,20,27,76,79,92,168,333
"West South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Arkansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Arkansas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AR-99.A",47192,47612,50401,51928,47795,52169,54596,55051,57458,61000,61308,65006,60322,61592,55559,60445,60775,67999,61605
"Arkansas : coal","thousand megawatthours","ELEC.GEN.COW-AR-99.A",24764,23098,23504,25354,23037,24183,25744,26115,25075,28152,29418,28431,31889,33221,21740,23800,26285,29996,23319
"Arkansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AR-99.A",879,160,289,539,203,160,94,64,88,45,56,33,42,29,60,42,49,36,47
"Arkansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AR-99.A","--","--","--","--",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas : natural gas","thousand megawatthours","ELEC.GEN.NG-AR-99.A",2707,4603,7301,5069,6006,9282,8364,8461,11221,12469,12947,17117,12139,9614,14866,18171,17314,20624,20329
"Arkansas : other gases","thousand megawatthours","ELEC.GEN.OOG-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-AR-99.A",14781,14559,14689,15450,13690,15233,15486,14168,15170,15023,14194,15493,11945,14478,13838,13421,12691,12721,13575
"Arkansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AR-99.A",2548,3436,2655,3643,3083,1551,3237,4660,4193,3659,2958,2198,2655,2640,3569,3570,2943,3009,2719
"Arkansas : other renewables",,"ELEC.GEN.AOR-AR-99.A",,,,,,,,,,,,,,,,,,,
"Arkansas : wind","thousand megawatthours","ELEC.GEN.WND-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,26,31,203,208
"Arkansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : biomass","thousand megawatthours","ELEC.GEN.BIO-AR-99.A",1512,1585,1844,1810,1736,1723,1624,1513,1586,1624,1668,1660,1601,1530,1441,1370,1437,1366,1354
"Arkansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AR-99.A","--","--",10,25,21,15,30,48,100,-1,34,42,31,67,32,39,20,40,51
"Arkansas : other","thousand megawatthours","ELEC.GEN.OTH-AR-99.A",0,171,109,38,15,22,17,22,24,28,32,30,21,13,12,6,4,5,5
"Arkansas : all solar",,"ELEC.GEN.TSN-AR-99.A",,,,,,,,,,,,,,,,,,,
"Arkansas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",5,5,7,10,22,35
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,26,31,203,208
"Louisiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Louisiana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-LA-99.A",87894,94971,94885,98172,92617,90922,92578,92453,90994,102885,105491,103408,102010,104229,107812,107269,97719,102128,101430
"Louisiana : coal","thousand megawatthours","ELEC.GEN.COW-LA-99.A",21968,22051,22889,23658,23087,24395,23051,24100,23067,23924,24628,21422,20844,19221,15165,12014,12316,11787,7419
"Louisiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-LA-99.A",1786,113,1085,2031,1902,260,282,267,102,106,49,38,54,48,78,14,19,21,21
"Louisiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-LA-99.A",1664,1751,1853,1872,1639,1612,1968,2038,1755,3175,4658,2992,4891,5183,4165,4805,4551,4356,3162
"Louisiana : natural gas","thousand megawatthours","ELEC.GEN.NG-LA-99.A",40373,47901,45434,46170,44168,41933,43915,45344,44003,51344,54322,58564,52510,56121,66211,66479,59001,61782,70395
"Louisiana : other gases","thousand megawatthours","ELEC.GEN.OOG-LA-99.A",441,1498,2687,2533,1897,1595,1811,1101,1227,1561,1292,1247,2246,1943,2401,2099,2143,2598,2633
"Louisiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-LA-99.A",17336,17305,16126,17080,15676,16735,17078,15371,16782,18639,16615,15659,16954,17311,15301,17152,15410,17153,13981
"Louisiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-LA-99.A",732,891,892,1099,811,713,827,1064,1236,1109,1044,680,1045,1090,999,1103,906,1180,1147
"Louisiana : other renewables",,"ELEC.GEN.AOR-LA-99.A",,,,,,,,,,,,,,,,,,,
"Louisiana : wind","thousand megawatthours","ELEC.GEN.WND-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,"NM"
"Louisiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : biomass","thousand megawatthours","ELEC.GEN.BIO-LA-99.A",2704,2810,3078,2966,2887,2962,2980,2710,2364,2468,2443,2430,2787,2780,2705,2876,2739,2607,2206
