"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"New York : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NY-99.A",143915,139592,137643,137965,146887,142265,145879,140322,133151,136962,137480,135768,136117,137122,138628,134417,128065,132521,132681
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-99.A",23432,23239,23581,22853,20598,20968,21406,19154,12759,13583,9426,4551,4697,4592,2380,1770,770,690,422
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-99.A",16495,11436,19202,20987,22759,6324,7942,3588,2489,1490,926,580,1007,2136,1892,643,598,1591,492
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-99.A",17,98,90,218,1254,454,253,158,159,515,263,0,0,0,0,0,0,0,0
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-99.A",38697,38451,28156,27294,31873,42134,45634,43856,41780,48916,50805,59462,54354,54380,56923,56793,47272,50810,49315
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-99.A",115,"--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,2
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-99.A",40395,39617,40679,40640,42443,42224,42453,43209,43485,41870,42695,40775,44756,43039,44603,41571,42167,42919,44865
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-99.A",23084,25048,24269,23990,25783,27345,25253,26723,27615,25472,27997,24652,24973,26087,26015,26888,30145,29630,29541
"New York : other renewables",,"ELEC.GEN.AOR-NY-99.A",,,,,,,,,,,,,,,,,,,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-99.A",21,82,41,116,103,655,833,1251,2266,2596,2828,2992,3539,3968,3977,3940,4136,3998,4850
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A","--","--","--","--","--","--","--","--","--","--",6,53,67,71,101,140,183,297,650
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New York : biomass","thousand megawatthours","ELEC.GEN.BIO-NY-99.A",1781,1726,1694,1795,1885,1941,1942,2068,2201,2218,2061,2148,2282,2408,2241,2244,2286,2142,1895
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-99.A",-931,-921,-912,-813,-781,-756,-768,-672,-480,-529,-433,-413,-443,-491,-423,-471,-416,-431,-316
"New York : other","thousand megawatthours","ELEC.GEN.OTH-NY-99.A",809,815,843,884,971,977,932,987,877,832,905,968,884,933,919,899,924,873,965
"New York : all solar",,"ELEC.GEN.TSN-NY-99.A",,,,,,,,,,,,,,,,,,,
"New York : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",350,589,873,1182,1497,1855
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A","--","--","--","--","--","--","--","--","--","--",6,53,67,71,101,140,183,297,650
"Pennsylvania",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Pennsylvania : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-PA-99.A",196577,204323,206350,214659,218091,218812,226088,222351,219496,229752,227315,223420,226786,221058,214572,215067,213639,215386,231245
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-99.A",111900,113906,116010,117176,120933,122558,122693,117583,105475,110369,100603,87148,88443,78986,64637,54672,47634,44086,38776
