"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVFJBUS","201613","1558.667","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201713","1742.231","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201813","1665.047","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201913","1557.942","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVTCBUS","194913","1424.722","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195013","1415.411","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195113","1423.795","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195213","1465.812","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195313","1412.859","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195413","1359.772","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195513","1359.844","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195613","1434.711","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195713","1515.613","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195813","1591.967","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","195913","1548.465","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196013","1607.975","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196113","1656.463","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196213","1816.141","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196313","1771.355","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196413","1886.314","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196513","2059.077","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196613","2061.519","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196713","2346.664","3","Conventional Hydropower Consumption","Trillion Btu"
