Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
3/20/2013,13 14 17 43 54 15,1,$260 Million,R,,,,
3/23/2013,17 29 31 52 53 31,1,$338 Million,1,NJ,,,
3/27/2013,07 37 43 48 52 16,1,$40 Million,R,,,,
3/30/2013,11 23 26 46 55 27,1,$50 Million,1,IL,,,
4/3/2013,01 06 08 12 35 03,1,$40 Million,R,,,,
4/6/2013,04 07 08 29 39 24,1,$50 Million,R,,,,
4/10/2013,01 36 40 52 53 20,1,$60 Million,R,,,,
4/13/2013,10 12 31 56 57 33,1,$70 Million,R,,,,
4/17/2013,13 18 36 48 58 28,1,$80 Million,R,,,,
4/20/2013,06 08 30 39 48 20,1,$95 Million,R,,,,
4/24/2013,09 19 31 56 59 02,1,$116 Million,R,,,,
4/27/2013,03 23 48 54 55 05,1,$140 Million,R,,,,
5/1/2013,22 26 31 54 55 18,1,$165 Million,R,,,,
5/4/2013,07 12 26 36 40 17,1,$191 Million,R,,,,
5/8/2013,21 22 26 30 57 27,1,$222 Million,R,,,,
5/11/2013,06 13 19 23 43 16,1,$270 Million,R,,,,
5/15/2013,02 11 26 34 41 32,1,$360 Million,R,,,,
5/18/2013,10 13 14 22 52 11,1,$590 Million,1,FL,,,
5/22/2013,09 31 35 41 57 26,1,$40 Million,R,,,,
5/25/2013,02 06 19 21 27 25,1,$50 Million,3,LA,FL,DE,
5/29/2013,09 14 17 49 57 02,1,$40 Million,1,TX,,,
6/1/2013,22 28 33 53 59 14,1,$40 Million,R,,,,
6/5/2013,04 26 33 36 55 32,1,$50 Million,R,,,,
6/8/2013,02 11 22 26 32 19,1,$60 Million,R,,,,
6/12/2013,16 22 23 42 55 32,1,$70 Million,R,,,,
6/15/2013,28 36 40 48 55 01,1,$85 Million,R,,,,
6/19/2013,07 46 47 52 57 17,1,$105 Million,R,,,,
6/22/2013,13 19 23 33 57 28,1,$131 Million,1,PA,,,
6/26/2013,01 18 33 39 46 33,1,$40 Million,R,,,,
6/29/2013,08 28 30 53 56 16,1,$50 Million,R,,,,
7/3/2013,03 06 29 40 51 04,1,$60 Million,R,,,,
7/6/2013,02 13 35 36 52 11,1,$70 Million,R,,,,
7/10/2013,30 31 45 55 59 27,1,$80 Million,R,,,,
7/13/2013,02 08 22 35 37 06,1,$94 Million,R,,,,
7/17/2013,01 22 34 38 42 17,1,$116 Million,R,,,,
7/20/2013,14 25 27 38 58 06,1,$141 Million,R,,,,
7/24/2013,09 29 40 44 54 07,1,$166 Million,R,,,,
7/27/2013,09 23 40 53 58 06,1,$196 Million,R,,,,
7/31/2013,08 24 39 49 59 05,1,$235 Million,R,,,,
8/3/2013,21 24 36 42 45 15,1,$300 Million,R,,,,
8/7/2013,05 25 30 58 59 32,1,$448 Million,3,NJ,NJ,MN,
8/10/2013,04 12 14 37 58 13,1,$40 Million,R,,,,
8/14/2013,04 11 17 43 51 20,1,$50 Million,R,,,,
8/17/2013,18 21 46 54 56 23,1,$60 Million,R,,,,
8/21/2013,30 40 42 46 48 23,1,$70 Million,R,,,,
8/24/2013,12 17 25 45 59 19,1,$92 Million,R,,,,
8/28/2013,06 07 09 19 32 13,1,$116 Million,R,,,,
8/31/2013,02 07 25 40 56 20,1,$142 Million,R,,,,
9/4/2013,02 09 26 45 47 11,1,$169 Million,R,,,,
9/7/2013,02 19 22 26 45 24,1,$203 Million,R,,,,
9/11/2013,11 19 33 42 52 33,1,$245 Million,R,,,,
9/14/2013,01 17 25 37 44 20,1,$317 Million,R,,,,
